TSNE1;TSNE2
-42.131783;-50.893555
32.827168;107.84054
4.4017344;7.0439606
-8.347392;-22.391375
-11.948676;-19.374453
67.44878;-87.19768
47.42019;41.159122
-58.845646;9.22493
-67.19558;36.976337
70.44839;-7.8109617
61.450542;-63.389534
68.662994;-12.8614435
82.13126;-59.345734
56.763485;1.3688382
73.04979;11.681446
-9.523497;-78.21464
-20.071877;-27.680422
90.316864;20.029902
92.99822;21.286789
-28.765854;87.47268
5.15998;-13.275045
48.687927;89.199585
-67.74251;21.739939
59.55062;-6.253029
102.17969;-2.029406
-18.981928;-82.99749
6.0448055;86.1753
0.53853065;107.89104
-13.548985;58.962173
85.40565;-64.541985
3.1555958;10.020297
49.978237;-98.45079
85.45889;-64.77027
83.85108;-53.933964
71.60426;4.9946313
97.402664;19.88526
49.865055;-98.56353
47.643776;-27.934332
97.37564;20.024925
8.188646;-23.743809
46.03327;42.1195
0.39653164;-12.304297
-7.6446695;-77.26474
-1.5334921;6.7415547
89.51025;48.464825
98.23673;-47.097416
30.545822;46.543053
-51.20494;18.498335
1.6381044;-38.431355
-14.460859;-32.668236
-4.96864;-17.581429
71.68748;5.1280437
71.84053;-15.377525
96.420105;23.793434
97.40454;20.038635
47.31493;90.898315
20.961054;-14.499371
69.98849;71.3646
71.34699;3.439753
80.355896;57.096615
-7.3072186;77.87148
77.134766;-55.00159
57.101772;-50.026127
84.62629;-62.187656
-2.0786698;-12.103391
45.287666;85.66349
67.87162;35.051685
73.33656;-8.799508
-67.612076;21.886265
97.15632;20.104548
-64.27209;13.985563
-11.794884;-19.686451
1.8652656;7.576873
84.670105;-61.816566
-14.477215;-76.324554
-57.61361;24.784983
40.755253;-60.27266
112.26775;-13.125487
-12.227005;-25.045425
-27.815973;-31.41221
67.27514;-82.51868
-13.421014;-23.956259
65.68039;-66.02459
65.68667;-66.030846
31.992092;48.78793
-2.1085;-12.184658
59.249638;38.981476
-10.050009;-20.90314
-14.97641;-31.949245
67.67141;-36.62548
3.0653987;-9.145128
